weight,content_only_recall_at_10,content_only_ndcg_at_10,content_only_mrr,content_only_coverage,hybrid_no_gnn_recall_at_10,hybrid_no_gnn_ndcg_at_10,hybrid_no_gnn_mrr,hybrid_no_gnn_coverage,full_recall_at_10,full_ndcg_at_10,full_mrr,full_coverage
0.1,0.0203,0.0084,0.0050,0.5568,0.0211,0.0080,0.0056,0.5624,0.0224,0.0089,0.0062,0.5691
0.2,0.0200,0.0087,0.0052,0.5552,0.0214,0.0081,0.0058,0.5617,0.0230,0.0091,0.0063,0.5678
0.3,0.0204,0.0085,0.0051,0.5560,0.0212,0.0079,0.0057,0.5611,0.0237,0.0093,0.0065,0.5687
0.4,0.0201,0.0083,0.0050,0.5554,0.0210,0.0082,0.0056,0.5603,0.0197,0.0080,0.0049,0.5538
0.5,0.0205,0.0086,0.0053,0.5565,0.0216,0.0084,0.0059,0.5620,0.0191,0.0078,0.0047,0.5529
0.6,0.0202,0.0084,0.0051,0.5558,0.0213,0.0081,0.0058,0.5614,0.0188,0.0076,0.0046,0.5521
